Subconjunto,Numero,Nome,Email,PaisNacionalidade,ProgramaTutoria,TempoParcial,SituacaoPrescricao,Habilitacao,Curso,CursoNome,PrimeiraVezCurso,AnoLetivoMatricula,EstadoMatricula,TipoAcesso,Regime,AnoCurricular,ECTS_InscritosAnoAtual,IND2_1,ECTS_InscritoAnoAtualSemestre1,ECTS_FeitosAnoAtual,IND2_2,Propina_TotalEmDivida,IND2_3,BolsaSAS_DataCandidatura,BolsaSAS_EstadoBolsa,BolsaSAS_DataDespacho,BolsaSAS_ValorBolsa,IND2_4,IngressoRG_nota,IngressoRG_fase,IngressoRG_pref,IND2_5,NumUCinscritas,UC1_CodUC,UC1_Assiduidade,UC1_AvalParcial,UC2_CodUC,UC2_Assiduidade,UC2_AvalParcial,UC3_CodUC,UC3_Assiduidade,UC3_AvalParcial,UC4_CodUC,UC4_Assiduidade,UC4_AvalParcial,UC5_CodUC,UC5_Assiduidade,UC5_AvalParcial,UC6_CodUC,UC6_Assiduidade,UC6_AvalParcial,UC7_CodUC,UC7_Assiduidade,UC7_AvalParcial,UC8_CodUC,UC8_Assiduidade,UC8_AvalParcial
b3,2,A2,,PORTUGAL,Não,Sim,Não Prescrito,Licenciatura - 1º Ciclo,19,C19,FALSO,2006,ACTIVO,ADL,Ordinário,1,12,30,6,0,30,212.69,,,,,,,,,,20,1,42729,-1,,,,,,,,,,,,,,,,,,,,,,
b1,3,A3,,PORTUGAL,Sim,Sim,Não Prescrito,Licenciatura - 1º Ciclo,22,C22,FALSO,2015,ACTIVO,REI,Trabalhador Estudante,1,18,30,6,0,10,0,,,,,,,,,,30,2,40909,22.22,,41201,41.46,,,,,,,,,,,,,,,,,,,
b3,4,A4,,PORTUGAL,Não,Sim,Não Prescrito,Licenciatura - 1º Ciclo,52,C52,FALSO,2007,ACTIVO,RG,Trabalhador Estudante,2,30,30,18,0,10,0,,,,,,,,,,30,2,81125,7.14,,81106,100,,,,,,,,,,,,,,,,,,,
b3,9,A9,,PORTUGAL,Não,Sim,Não Prescrito,Mestrado Integrado,18,C18,FALSO,2013,ACTIVO,MUD,Trabalhador Estudante,2,30,30,16,0,10,0,,,,,,,,,,30,2,40333,85.71,,43257,0,,,,,,,,,,,,,,,,,,,
b3,15,A15,,PORTUGAL,Não,Sim,Não Prescrito,Mestrado Integrado,32,C32,FALSO,2007,ACTIVO,ADL,Trabalhador Estudante,2,30,30,12,0,10,0,,,,,,,,,,20,3,46415,67.86,,42729,-1,,41201,-1,,,,,,,,,,,,,,,,
b3,17,A17,,PORTUGAL,Não,Sim,Não Prescrito,Licenciatura - 1º Ciclo,25,C25,FALSO,2014,ACTIVO,TIT,Trabalhador Estudante,1,30,30,12,0,10,0,,,,,,,,,,10,3,47259,100,,47055,100,,47080,100,,,,,,,,,,,,,,,,
b1,26,A26,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,71,C71,VERDADEIRO,2015,ACTIVO,MUD,Trabalhador Estudante,1,28,30,12,0,30,530.72,,,,,,,,,,20,3,90211,100,,90214,-1,,90213,100,,,,,,,,,,,,,,,,
b3,28,A28,,PORTUGAL,Não,Sim,Não Prescrito,Licenciatura - 1º Ciclo,56,C56,FALSO,2012,ACTIVO,TIT,Ordinário,2,30,30,18,12,30,531.74,,,,,,,,,,20,2,81436,100,,81125,-1,,,,,,,,,,,,,,,,,,,
b3,29,A29,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,28,C28,FALSO,2014,ACTIVO,TIT,Trabalhador Estudante,2,60,30,30,12,10,0,,,,,,,,,,20,5,42729,-1,,45737,58.97,,45797,100,,41208,79.17,,45711,13.33,,,,,,,,,,
b3,31,A31,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,18,C18,FALSO,2014,ACTIVO,TIT,Trabalhador Estudante,2,50,30,24,6,10,0,,,,,,,,,,30,4,40333,100,,43257,25,,47171,36.59,,42729,17.86,,,,,,,,,,,,,
b3,32,A32,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,29,C29,FALSO,2013,ACTIVO,MUD,Trabalhador Estudante,2,60,30,30,6,10,0,,,,,,,,,,30,5,46858,100,,44354,100,,46889,0,,41201,53.49,,46843,7.14,,,,,,,,,,
b3,36,A36,,PORTUGAL,Não,Sim,Não Prescrito,Licenciatura - 1º Ciclo,72,C72,FALSO,2013,ACTIVO,MUD-NOVCICLO,Trabalhador Estudante,2,30,30,15,6,30,141.79,,,,,,,,,,20,4,90242,0,,90247,100,,90170,-1,,90248,100,,,,,,,,,,,,,
b3,38,A38,,PORTUGAL,Não,Sim,Não Prescrito,Licenciatura - 1º Ciclo,69,C69,FALSO,2008,ACTIVO,M23,Trabalhador Estudante,2,26,30,12,0,10,0,,,,,,,,,,30,2,90122,6.25,,90305,0,,,,,,,,,,,,,,,,,,,
b3,45,A45,,PORTUGAL,Não,Sim,Não Prescrito,Licenciatura - 1º Ciclo,72,C72,FALSO,2013,ACTIVO,MUD-NOVCICLO,Ordinário,1,12,30,0,0,10,0,,,,,,,,,,30,2,90121,100,,90242,0,,,,,,,,,,,,,,,,,,,
b1,48,A48,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,52,C52,VERDADEIRO,2015,ACTIVO,MUD,Trabalhador Estudante,1,60,10,30,36,10,0,,,,,,,,,,30,5,81435,53.57,,81436,96.55,,84116,24.14,,81125,28.57,,85101,34.48,,,,,,,,,,
b1,50,A50,,PORTUGAL,Não,Sim,Não Prescrito,Licenciatura - 1º Ciclo,72,C72,VERDADEIRO,2015,ACTIVO,MUD,Trabalhador Estudante,1,24,10,12,12,10,0,,,,,,,,,,30,2,90121,100,,90124,3.33,,,,,,,,,,,,,,,,,,,
b3,56,A56,,PORTUGAL,Não,Sim,Não Prescrito,Licenciatura - 1º Ciclo,56,C56,FALSO,2012,ACTIVO,TIT-CET,Trabalhador Estudante,2,24,30,12,0,10,0,,,,,,,,,,30,2,84116,36.67,,85101,79.31,,,,,,,,,,,,,,,,,,,
b1,58,A58,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,26,C26,VERDADEIRO,2015,ACTIVO,TIT-CET,Trabalhador Estudante,1,52,30,26,0,10,0,,,,,,,,,,20,4,40333,15.38,,43257,-2,,42729,0,,47166,13.64,,,,,,,,,,,,,
b3,59,A59,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,53,C53,FALSO,2012,ACTIVO,TIT-CET,Trabalhador Estudante,2,54,30,24,6,10,0,,,,,,,,,,30,5,85101,6.9,,81439,93.1,,83112,100,,81441,83.33,,81106,100,,,,,,,,,,
b1,61,A61,,PORTUGAL,Não,Não,Prescrito,Licenciatura - 1º Ciclo,58,C58,FALSO,2015,ACTIVO,REI,Ordinário,1,60,30,30,6,10,0,,,,,,,,,,20,5,42502,-1,,42729,17.86,,47166,2.27,,40431,-1,,40436,-1,,,,,,,,,,
b1,62,A62,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,61,C61,VERDADEIRO,2015,ACTIVO,MUD,Trabalhador Estudante,1,60,10,30,42,10,0,,,,,,,,,,10,6,40726,100,,40523,100,,40521,85.19,,40727,84.62,,40522,100,,40725,88.89,,,,,,,
b3,63,A63,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,18,C18,FALSO,2009,ACTIVO,TRA,Trabalhador Estudante,2,56,30,28,0,10,0,,,,,,,,,,30,4,42729,0,,41413,88.37,,43257,0,,47171,14.29,,,,,,,,,,,,,
b3,64,A64,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,42,C42,FALSO,2009,ACTIVO,TIT,Trabalhador Estudante,1,60,30,30,0,10,0,,,,,,,,,,30,5,43346,100,,47216,80.77,,40577,100,,47215,7.14,,47015,100,,,,,,,,,,
b3,65,A65,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,35,C35,FALSO,2010,ACTIVO,RG,Trabalhador Estudante,2,48,10,24,30,30,177.22,,,,,,,,,,30,3,47107,93.55,,47238,46.43,,47169,92.68,,,,,,,,,,,,,,,,
b3,70,A70,,PORTUGAL,Não,Sim,Não Prescrito,Licenciatura - 1º Ciclo,72,C72,FALSO,2013,ACTIVO,MUD-NOVCICLO,Trabalhador Estudante,2,12,10,9,6,10,0,,,,,,,,,,10,1,90129,100,,,,,,,,,,,,,,,,,,,,,,
b3,75,A75,,PORTUGAL,Não,Sim,Não Prescrito,Licenciatura - 1º Ciclo,69,C69,FALSO,2014,ACTIVO,TIT-CET,Trabalhador Estudante,1,12,30,12,0,10,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
b1,77,A77,,PORTUGAL,Não,Sim,Não Prescrito,Licenciatura - 1º Ciclo,52,C52,FALSO,2015,ACTIVO,REI,Trabalhador Estudante,1,30,10,12,18,10,0,30,28/09/2015,Indeferida,16/11/2015,,,,,,20,3,81436,-2,,84116,14.29,,81435,40,,,,,,,,,,,,,,,,
b3,80,A80,,PORTUGAL,Não,Sim,Não Prescrito,Licenciatura - 1º Ciclo,53,C53,FALSO,2009,ACTIVO,RG,Ordinário,2,30,30,18,6,10,0,,,,,,,,,,10,2,81106,100,,81125,92.86,,,,,,,,,,,,,,,,,,,
b1,83,A83,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,42,C42,VERDADEIRO,2015,ACTIVO,RG,Trabalhador Estudante,1,60,10,30,60,10,0,30,29/09/2015,Indeferida,23/11/2015,,10,151.5,1,1,10,5,40577,100,,47215,92.86,,47015,90,,47216,100,,43346,100,,,,,,,,,,
b1,88,A88,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,69,C69,FALSO,2015,ACTIVO,REI,Ordinário,1,46,30,14,6,10,0,,,,,,,,,,20,6,90293,66.67,,90101,100,,90292,57.69,,90122,18.75,,90305,81.82,,99928,-1,,,,,,,
b2,90,A90,,PORTUGAL,Não,Não,,Curso Técnico Superior Profissional,1,C1,VERDADEIRO,2015,ACTIVO,TeSP-TDET/ES,Ordinário,1,60,10,30,54,10,0,,,,,,,,,,10,5,18006,96.67,,18009,100,,18010,90,,18001,100,,18008,93.33,,,,,,,,,,
b3,92,A92,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,19,C19,FALSO,2010,ACTIVO,RG,Trabalhador Estudante,2,56,30,30,0,10,0,,,,,,,,,,30,4,43504,100,,42729,41.38,,41703,100,,42250,47.95,,,,,,,,,,,,,
b3,93,A93,,PORTUGAL,Não,Sim,Não Prescrito,Licenciatura - 1º Ciclo,22,C22,FALSO,2010,ACTIVO,M23,Trabalhador Estudante,2,30,30,12,0,30,177.26,,,,,,,,,,30,3,47211,6.67,,42729,0,,40909,57.14,,,,,,,,,,,,,,,,
b3,94,A94,,PORTUGAL,Não,Sim,Não Prescrito,Licenciatura - 1º Ciclo,31,C31,FALSO,2010,ACTIVO,M23,Trabalhador Estudante,2,30,30,12,6,10,0,,,,,,,,,,20,3,42729,0,,42869,100,,43589,-2,,,,,,,,,,,,,,,,
b3,95,A95,,PORTUGAL,Não,Sim,Não Prescrito,Licenciatura - 1º Ciclo,53,C53,FALSO,2010,ACTIVO,M23,Trabalhador Estudante,2,18,30,0,6,30,56.71,,,,,,,,,,30,3,81439,20,,81125,93.1,,81441,60.71,,,,,,,,,,,,,,,,
b3,96,A96,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,60,C60,FALSO,2014,ACTIVO,MUD-NOVCICLO,Trabalhador Estudante,2,60,30,30,0,30,531.72,,,,,,,,,,20,4,41703,-2,,43501,100,,41704,30.95,,42215,-2,,,,,,,,,,,,,
b2,98,A98,,PORTUGAL,Não,Não,,Curso Técnico Superior Profissional,4,C4,VERDADEIRO,2015,ACTIVO,TeSP-TDET/ES,Trabalhador Estudante,1,48,30,18,12,10,0,30,27/02/2016,Indeferida,16/04/2016,,,,,,30,5,18063,0,,18024,26.67,,18064,3.13,,18062,60,,18068,20.59,,,,,,,,,,
b1,98,A98,,PORTUGAL,Não,Sim,Não Prescrito,Licenciatura - 1º Ciclo,69,C69,VERDADEIRO,2015,ACTIVO,TIT-CET,Trabalhador Estudante,1,10,30,4,0,10,0,,,,,,,,,,30,1,90122,6.25,,,,,,,,,,,,,,,,,,,,,,
b2,99,A99,,PORTUGAL,Não,Não,,Curso Técnico Superior Profissional,7,C7,VERDADEIRO,2015,ACTIVO,TeSP-TDET/ES,Trabalhador Estudante,1,60,10,30,54,10,0,,,,,,,,,,30,5,18041,65.52,,18105,73.33,,18108,100,,18107,87.1,,18106,96.15,,,,,,,,,,
b3,103,A103,,PORTUGAL,Não,Não,Em risco de prescrição (Ano seguinte),Licenciatura - 1º Ciclo,37,C37,FALSO,2013,ACTIVO,TRA,Trabalhador Estudante,2,64,30,34,4,10,0,,,,,,,,,,30,5,47041,17.65,,42729,25.93,,47223,100,,43501,97.56,,40308,96.43,,,,,,,,,,
b3,106,A106,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,76,C76,FALSO,2011,ACTIVO,RG,Trabalhador Estudante,2,60,30,30,12,10,0,,,,,,,,,,30,5,41703,92.86,,42729,40,,40550,100,,43504,100,,40909,84.62,,,,,,,,,,
b1,107,A107,,PORTUGAL,Sim,Não,Não Prescrito,Mestrado Integrado,32,C32,FALSO,2015,ACTIVO,REI,Ordinário,1,60,30,30,0,10,0,,,,,,,,,,30,5,40909,80.77,,46493,89.29,,46415,89.66,,42729,3.33,,41703,46.15,,,,,,,,,,
b3,117,A117,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,18,C18,FALSO,2011,ACTIVO,M23,Trabalhador Estudante,1,52,30,26,0,10,0,,,,,,,,,,20,4,40333,26.92,,43257,-2,,47171,32.5,,42729,33.33,,,,,,,,,,,,,
b3,120,A120,,PORTUGAL,Não,Sim,Não Prescrito,Licenciatura - 1º Ciclo,52,C52,FALSO,2011,ACTIVO,M23,Trabalhador Estudante,2,24,30,6,6,10,0,,,,,,,,,,30,3,81439,68.97,,89096,82.76,,84116,0,,,,,,,,,,,,,,,,
b1,126,A126,,PORTUGAL,Não,Sim,Não Prescrito,Licenciatura - 1º Ciclo,28,C28,VERDADEIRO,2015,ACTIVO,TIT-CET,Trabalhador Estudante,1,30,10,18,30,10,0,,,,,,,,,,30,2,41208,100,,47268,55.56,,,,,,,,,,,,,,,,,,,
b3,127,A127,,PORTUGAL,Não,Sim,Não Prescrito,Licenciatura - 1º Ciclo,72,C72,FALSO,2013,ACTIVO,TIT-CET,Trabalhador Estudante,1,6,30,0,0,10,0,,,,,,,,,,10,1,90121,100,,,,,,,,,,,,,,,,,,,,,,
