Subconjunto,Numero,Nome,Sexo,Email,PaisNacionalidade,ProgramaTutoria,TempoParcial,SituacaoPrescricao,Habilitacao,Curso,CursoNome,PrimeiraVezCurso,AnoLetivoMatricula,EstadoMatricula,TipoAcesso,Regime,AnoCurricular,ECTS_InscritosAnoAtual,IND2_1,ECTS_InscritoAnoAtualSemestre1,ECTS_FeitosAnoAtual,ECTS_Inscritos1AnoNoAnoAnterior,ECTS_Feitos1AnoNoAnoAnterior,Sucesso1anoNoAnoAnterior,media,IND2_2,Propina_TotalEmDivida,IND2_3,BolsaSAS_DataCandidatura,BolsaSAS_EstadoBolsa,BolsaSAS_DataDespacho,BolsaSAS_ValorBolsa,IND2_4,IngressoRG_nota,IngressoRG_fase,IngressoRG_pref,IND2_5,NumUCinscritas,40307_AvalParcial,40307_TaxaAssid,40352_AvalParcial,40352_TaxaAssid,40368_AvalParcial,40368_TaxaAssid,40395_AvalParcial,40395_TaxaAssid,40525_AvalParcial,40525_TaxaAssid,40723_AvalParcial,40723_TaxaAssid,41784_AvalParcial,41784_TaxaAssid,47034_AvalParcial,47034_TaxaAssid,47050_AvalParcial,47050_TaxaAssid,47109_AvalParcial,47109_TaxaAssid,47176_AvalParcial,47176_TaxaAssid,47193_AvalParcial,47193_TaxaAssid
b1,14,A14,F,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Mudança de Curso,Ordinário,1,60,,30,0,,0,0,0,10,0,,,,,,,,,,30,5,,100,,100,,,,,,,,,,0,,100,,100,,,,,,
b1,24,A24,F,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Cand. Especiais - Titulares de Curso Médios e Superiores,Trabalhador Estudante,1,72,,36,0,,0,0,0,30,177.25,,,,,,,,,,30,6,,75,,100,,,,,,,,93.75,,40,,40,,88.89,,,,,,
b1,138,A138,M,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Mudança de Curso,Ordinário,1,54,,24,0,,0,0,10,10,0,,,,,,,,,,30,4,,100,,100,,,,,,,,,,,,80,,100,,,,,,
b3,256,A256,F,,PORTUGAL,Não,Não,Em risco de prescrição (Ano atual),Licenciatura - 1º Ciclo,16,C16,FALSO,2015,ACTIVO,Regime Geral,Ordinário,2,60,,30,0,42,12,28.5714,10.17,30,354.5,,,,,,,140.4,1,1,20,5,,,,100,,85.71,,,,100,,,,50,,,,,,-2,,,,
b3,450,A450,M,,BRASIL,Não,Sim,,Licenciatura - 1º Ciclo,16,C16,FALSO,2016,ACTIVO,Estudante Internacional,Ordinário,2,30,,30,0,60,24,40,11.5,30,916.66,,,,,,,,,,20,5,,,,100,,,,100,,,,,,16.67,,,,,,-2,,,,100
b3,520,A520,M,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,FALSO,2016,ACTIVO,Regime Geral,Ordinário,2,60,,30,0,60,24,40,12,30,354.5,20,27/09/2017,Em análise,,,,139.8,1,1,30,5,,100,,0,,33.33,,,,,,,,0,,60,,,,,,,,
b3,686,A686,F,,TIMOR LESTE,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,FALSO,2016,ACTIVO,Naturais e filhos de naturais de Timor-Leste,Ordinário,2,60,,30,0,60,24,40,10.75,30,354.5,,,,,,,,,,20,5,,100,,-2,,100,,,,,,,,83.33,,80,,,,,,,,
b1,766,A766,M,,BRASIL,Não,Não,,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Estudante Internacional,Ordinário,1,60,,30,0,,0,0,0,30,177.25,,,,,,,,,,10,5,,100,,100,,,,,,,,,,100,,90,,100,,,,,,
b1,795,A795,F,,BRASIL,Não,Não,,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Estudante Internacional,Ordinário,1,60,,30,0,,0,0,0,10,0,,,,,,,,,,10,5,,100,,100,,,,,,,,,,100,,90,,100,,,,,,
b1,813,A813,M,,BRASIL,Não,Sim,,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Estudante Internacional,Ordinário,1,30,,0,0,,0,0,0,30,916.66,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
